geo_accession	title	source_name	tissue	fetal_sex	age	log10_maternal_decidual_triglycerides	brain_serotonin_ng_ml_	placental_serotonin_ng_ml_	sample_id	tissue_code
GSM5691229	H-16680 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	1.54518918517293	6.363628589	0.039666487	H-16680	P
GSM5691230	H-16681 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	1.5720719504139	11.3884726	9.456242415	H-16681	P
GSM5691231	H-16682 P	Fetal placental tissue	Fetal placental tissue	Male	82 d.p.c.	1.43480530663988	7.456221803	0.534636746	H-16682	P
GSM5691232	H-16730 P	Fetal placental tissue	Fetal placental tissue	Male	78 d.p.c.	0.711121852499255	7.211037473	6.217924916	H-16730	P
GSM5691233	H-16737 P	Fetal placental tissue	Fetal placental tissue	Female	74 d.p.c.	0.822884662411378	10.0685373	0.649283396	H-16737	P
GSM5691234	H-16849 P	Fetal placental tissue	Fetal placental tissue	Male	78 d.p.c.	1.2156436429866	4.653048902	0.039666487	H-16849	P
GSM5691235	H-17254 P	Fetal placental tissue	Fetal placental tissue	Female	72 d.p.c.	1.17501200023667	25.41803739	1.736114591	H-17254	P
GSM5691236	H-17255 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	0.863343265532482	5.727263754	0.550270596	H-17255	P
GSM5691237	H-17257 P	Fetal placental tissue	Fetal placental tissue	Female	79 d.p.c.	1.31151143590093	6.586917364	2.61056275	H-17257	P
GSM5691238	H-17259 P	Fetal placental tissue	Fetal placental tissue	Female	78 d.p.c.	1.1985449255427	11.97833296	1.50178342	H-17259	P
GSM5691239	H-17392 P	Fetal placental tissue	Fetal placental tissue	Female	74 d.p.c.	1.42080583591543	32.3681087	13.47489285	H-17392	P
GSM5691240	H-17394 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	1.2990027621762	25.29984401	2.686945983	H-17394	P
GSM5691241	H-17410 P	Fetal placental tissue	Fetal placental tissue	Male	82 d.p.c.	1.52265845869018	6.004010115	0.550270596	H-17410	P
GSM5691242	H-17417 P	Fetal placental tissue	Fetal placental tissue	Male	74 d.p.c.	0.872565133166792	11.04608965	0.566150406	H-17417	P
GSM5691243	H-17420 P	Fetal placental tissue	Fetal placental tissue	Female	74 d.p.c.	1.10119629781904	14.31548661	0.017501512	H-17420	P
GSM5691244	H-17606 P	Fetal placental tissue	Fetal placental tissue	Male	72 d.p.c.	1.30505199008485	12.09925909	1.616358078	H-17606	P
GSM5691245	H-17612 P	Fetal placental tissue	Fetal placental tissue	Female	82 d.p.c.	1.23710167892114	9.556182126	2.233648163	H-17612	P
GSM5691246	H-18496 P	Fetal placental tissue	Fetal placental tissue	Male	80 d.p.c.	0.422816775738093	7.292075139	0.112102802	H-18496	P
GSM5691247	H-19124 P	Fetal placental tissue	Fetal placental tissue	Male	74 d.p.c.	1.1316045511529	6.800944698	2.441518737	H-19124	P
GSM5691248	H-19125 P	Fetal placental tissue	Fetal placental tissue	Male	81 d.p.c.	1.12645286757153	6.963239432	2.294959727	H-19125	P
GSM5691249	H-19283 P	Fetal placental tissue	Fetal placental tissue	Male	80 d.p.c.	0.757923694790228	12.46809117	4.711884299	H-19283	P
GSM5691250	H-19600 P	Fetal placental tissue	Fetal placental tissue	Male	80 d.p.c.	0.517715947808321	10.78785144	7.860109438	H-19600	P
GSM5691251	H-19764 P	Fetal placental tissue	Fetal placental tissue	Female	76 d.p.c.	0.938609376718721	6.738987286	0.566150406	H-19764	P
GSM5691252	H-19856 P	Fetal placental tissue	Fetal placental tissue	Female	78 d.p.c.	1.17818183487972	8.647640604	3.77712393	H-19856	P
GSM5691253	H-19931 P	Fetal placental tissue	Fetal placental tissue	Male	78 d.p.c.	0.71229058692121	30.68156141	14.91844841	H-19931	P
GSM5691254	H-20336 P	Fetal placental tissue	Fetal placental tissue	Female	72 d.p.c.	1.09791710249957	20.36378132	14.35578908	H-20336	P
GSM5691255	H-20381 P	Fetal placental tissue	Fetal placental tissue	Female	82 d.p.c.	1.30195579261398	22.37928558	14.79072552	H-20381	P
GSM5691256	H-20385 P	Fetal placental tissue	Fetal placental tissue	Male	80 d.p.c.	0.434741629472122	33.85623164	4.38594791	H-20385	P
GSM5691257	H-20442 P	Fetal placental tissue	Fetal placental tissue	Male	80 d.p.c.	1.18201612857849	15.58021987	5.843234936	H-20442	P
GSM5691258	H-20748 P	Fetal placental tissue	Fetal placental tissue	Female	82 d.p.c.	1.12554892578731	6.80714082	3.371376785	H-20748	P
GSM5691259	H-20815 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	1.27364262759972	5.426429363	4.716923452	H-20815	P
GSM5691260	H-20818 P	Fetal placental tissue	Fetal placental tissue	Female	80 d.p.c.	1.12554892578731	29.26987587	4.143438983	H-20818	P
GSM5691261	H-20819 P	Fetal placental tissue	Fetal placental tissue	Female	82 d.p.c.	0.817279579847439	9.172697265	4.386962423	H-20819	P
GSM5691262	H-20820 P	Fetal placental tissue	Fetal placental tissue	Male	78 d.p.c.	1.08139556006593	5.598970323	2.332419206	H-20820	P
GSM5691263	H-21027 P	Fetal placental tissue	Fetal placental tissue	Male	76 d.p.c.	1.23790349054503	3.824748666	2.862274634	H-21027	P
